"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema (1)","table_name (1)","column_name (1)"
"postgresql","backend3900","public","UnconfirmedUsers","user_id",1,"integer","","PRIMARY KEY","","",""
"postgresql","backend3900","public","Users","user_id",1,"integer","","PRIMARY KEY","","",""
"postgresql","backend3900","public","Restaurants","owner_id",2,"integer","","FOREIGN KEY","public","Users","user_id"
"postgresql","backend3900","public","Restaurants","restaurant_id",1,"integer","","PRIMARY KEY","","",""
"postgresql","backend3900","public","Dishes","restaurant_id",2,"integer","","FOREIGN KEY","public","Restaurants","restaurant_id"
"postgresql","backend3900","public","Dishes","dish_id",1,"integer","","PRIMARY KEY","","",""
"postgresql","backend3900","public","Comments","restaurant_id",3,"integer","","FOREIGN KEY","public","Restaurants","restaurant_id"
"postgresql","backend3900","public","Comments","user_id",2,"integer","","FOREIGN KEY","public","Users","user_id"
"postgresql","backend3900","public","Comments","comment_id",1,"integer","","PRIMARY KEY","","",""
"postgresql","backend3900","public","VoucherTemplate","restaurant_id",2,"integer","","FOREIGN KEY","public","Restaurants","restaurant_id"
"postgresql","backend3900","public","VoucherTemplate","template_id",1,"integer","","PRIMARY KEY","","",""
"postgresql","backend3900","public","Replies","comment_id",3,"integer","","FOREIGN KEY","public","Comments","comment_id"
"postgresql","backend3900","public","Replies","user_id",2,"integer","","FOREIGN KEY","public","Users","user_id"
"postgresql","backend3900","public","Replies","reply_id",1,"integer","","PRIMARY KEY","","",""
"postgresql","backend3900","public","Vouchers","owner_id",3,"integer","","FOREIGN KEY","public","Users","user_id"
"postgresql","backend3900","public","Vouchers","template_id",2,"integer","","FOREIGN KEY","public","VoucherTemplate","template_id"
"postgresql","backend3900","public","Vouchers","voucher_id",1,"integer","","PRIMARY KEY","","",""
"postgresql","backend3900","public","VouchersAutoReleaseTimer","template_id",3,"integer","","FOREIGN KEY","public","VoucherTemplate","template_id"
"postgresql","backend3900","public","VouchersAutoReleaseTimer","restaurant_id",2,"integer","","FOREIGN KEY","public","Restaurants","restaurant_id"
"postgresql","backend3900","public","VouchersAutoReleaseTimer","timer_id",1,"integer","","PRIMARY KEY","","",""
"postgresql","backend3900","public","Replies","content",4,"text","","","","",""
"postgresql","backend3900","public","VoucherTemplate","description",6,"text","","","","",""
"postgresql","backend3900","public","Dishes","name",3,"text","","","","",""
"postgresql","backend3900","public","Replies","date",5,"date","","","","",""
"postgresql","backend3900","public","Users","password_reset_code",6,"text","","","","",""
"postgresql","backend3900","public","Comments","disliked_by",10,"ARRAY","","","","",""
"postgresql","backend3900","public","VouchersAutoReleaseTimer","start_date",5,"double precision","","","","",""
"postgresql","backend3900","public","VouchersAutoReleaseTimer","amount",4,"integer","","","","",""
"postgresql","backend3900","public","Comments","liked_by",9,"ARRAY","","","","",""
"postgresql","backend3900","public","Restaurants","address",4,"text","","","","",""
"postgresql","backend3900","public","Restaurants","image",5,"text","","","","",""
"postgresql","backend3900","public","Comments","anonymity",7,"boolean","","","","",""
"postgresql","backend3900","public","VoucherTemplate","condition",5,"text","","","","",""
"postgresql","backend3900","public","VoucherTemplate","shareable",8,"boolean","","","","",""
"postgresql","backend3900","public","VouchersAutoReleaseTimer","interval",7,"integer","","","","",""
"postgresql","backend3900","public","UnconfirmedUsers","confirm_code",5,"text","","","","",""
"postgresql","backend3900","public","Replies","anonymity",6,"boolean","","","","",""
"postgresql","backend3900","public","VoucherTemplate","discount",4,"text","","","","",""
"postgresql","backend3900","public","Dishes","description",5,"text","","","","",""
"postgresql","backend3900","public","Users","email_reset_code",4,"text","","","","",""
"postgresql","backend3900","public","Users","token",8,"text","","","","",""
"postgresql","backend3900","public","Dishes","price",4,"double precision","","","","",""
"postgresql","backend3900","public","Users","favorite_restaurants",9,"ARRAY","","","","",""
"postgresql","backend3900","public","Comments","content",4,"text","","","","",""
"postgresql","backend3900","public","UnconfirmedUsers","password_hash",4,"text","","","","",""
"postgresql","backend3900","public","VoucherTemplate","type",3,"text","","","","",""
"postgresql","backend3900","public","Comments","date",6,"date","","","","",""
"postgresql","backend3900","public","Users","password_hash",5,"text","","","","",""
"postgresql","backend3900","public","Users","photo",7,"text","","","","",""
"postgresql","backend3900","public","Restaurants","name",3,"text","","","","",""
"postgresql","backend3900","public","UnconfirmedUsers","email",3,"text","","","","",""
"postgresql","backend3900","public","VoucherTemplate","expire",7,"double precision","","","","",""
"postgresql","backend3900","public","VoucherTemplate","total_amount",10,"integer","","","","",""
"postgresql","backend3900","public","VouchersAutoReleaseTimer","end_date",6,"double precision","","","","",""
"postgresql","backend3900","public","Users","email",3,"text","","","","",""
"postgresql","backend3900","public","Replies","report_by",7,"ARRAY","","","","",""
"postgresql","backend3900","public","Dishes","image",6,"text","","","","",""
"postgresql","backend3900","public","VoucherTemplate","remain_amount",9,"integer","","","","",""
"postgresql","backend3900","public","Vouchers","code",6,"text","","","","",""
"postgresql","backend3900","public","Comments","report_by",8,"ARRAY","","","","",""
"postgresql","backend3900","public","Vouchers","is_used",4,"boolean","","","","",""
"postgresql","backend3900","public","Users","name",2,"text","","","","",""
"postgresql","backend3900","public","UnconfirmedUsers","name",2,"text","","","","",""
"postgresql","backend3900","public","Vouchers","used_time",5,"double precision","","","","",""
"postgresql","backend3900","public","Vouchers","code_time",7,"double precision","","","","",""
"postgresql","backend3900","public","Comments","rate",5,"double precision","","","","",""
